id,idade,renda_anual,pontuacao_gastos,cluster
1,56,94740,90,1
2,69,136352,50,0
3,46,86617,62,1
4,32,114841,97,1
5,60,36896,51,2
6,25,145729,37,0
7,38,66175,96,1
8,56,27805,87,1
9,36,25237,78,1
10,40,135247,29,0
11,28,40056,50,2
12,28,65543,80,1
13,41,76556,4,2
14,70,134548,28,0
15,53,131488,3,0
16,57,23343,9,2
17,41,33500,55,2
18,20,73222,16,2
19,39,49375,73,1
20,70,29662,16,2
21,19,36964,83,1
22,41,133429,87,1
23,61,141692,68,0
24,47,79638,33,2
25,55,93666,5,0
26,19,105067,52,0
27,38,138937,65,0
28,50,87215,76,1
29,29,89042,42,0
30,39,33284,74,1
31,61,92789,22,0
32,42,104664,54,0
33,66,113468,79,1
34,44,81389,94,1
35,59,29435,74,1
36,45,74340,15,2
37,33,64078,7,2
38,32,98832,3,0
39,64,71293,3,2
40,68,115981,55,0
41,61,98781,24,0
42,69,80403,66,1
43,20,49124,95,1
44,54,115435,66,0
45,68,63919,26,2
46,24,128761,92,1
47,38,141305,31,0
48,26,55247,49,2
49,56,141172,60,0
50,35,114758,50,0
51,21,111747,18,0
52,42,82752,20,2
53,31,76573,4,2
54,67,79101,81,1
55,26,122756,91,1
56,43,46646,41,2
57,70,124185,60,0
58,19,43049,21,2
59,37,99605,20,0
60,45,118116,69,0
61,64,117379,0,0
62,24,88385,4,2
63,61,146131,11,0
64,25,60158,89,1
65,64,85417,45,0
66,52,43289,33,2
67,31,130226,48,0
68,34,120793,77,1
69,53,29823,89,1
70,67,80160,44,2
71,57,61975,26,2
72,21,29540,72,1
73,19,36364,25,2
74,23,24611,46,2
75,59,47663,85,1
76,21,71991,55,1
77,46,77679,93,1
78,35,124182,62,0
79,43,50977,47,2
80,61,114704,60,0
81,51,69115,80,1
82,27,111007,25,0
83,53,108223,35,0
84,31,80890,0,2
85,48,86387,7,2
86,65,38071,98,1
87,32,79275,51,1
88,25,92369,78,1
89,31,31938,46,2
90,40,55195,55,1
91,57,111680,85,1
92,38,24000,13,2
93,33,90588,89,1
94,62,121042,27,0
95,35,113610,86,1
96,64,140420,77,0
97,70,123691,87,1
98,41,126306,1,0
99,43,117856,25,0
100,42,58304,13,2
101,62,131783,58,0
102,58,89449,55,1
103,46,102986,6,0
104,32,109643,2,0
105,62,40764,22,2
106,18,128940,17,0
107,42,106027,37,0
108,24,58494,98,1
109,26,23373,14,2
110,41,32161,63,1
111,18,117532,88,1
112,61,112658,100,1
113,25,143633,27,0
114,41,120386,73,0
115,28,47350,38,2
116,68,113008,56,0
117,34,114297,16,0
118,25,45351,85,1
119,52,108668,89,1
120,52,134585,43,0
121,50,35305,24,2
122,22,95353,16,0
123,59,96797,12,0
124,56,85953,83,1
125,58,77458,24,2
126,45,127112,67,0
127,24,40358,9,2
128,26,23267,66,1
129,25,102745,17,0
130,29,109588,99,1
